docName,experiment_type,operators_max,iterations,reduced,original_height,last_page_height,gained,cost,time_taken,max_len_tree,operators_count
Explaining Neural Network,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,12.780206299999989,145.265686750412,-1,0
Exploiting Cross-Lingual Subword,greedy-separate,2,1,False,26.899200000000064,17.932800000000043,8.966400000000021,12.817032600000005,36.90048599243164,-1,0
Exploiting Language Models,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,15.261236400000001,10.780812501907349,-1,0
Exploiting Multiple Abstractions,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,11.384747749999974,17.159274101257324,-1,0
Exploring Gameplay With,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,12.097918399999969,7.691055059432983,-1,0
Exploring the Efficacy,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,20.0,10.50750732421875,-1,0
Fair Conformal Predictors,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,16.09828999999999,17.38562512397766,-1,0
Fast,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,12.553515199999993,9.098026037216187,-1,0
Fast and Knowledge-Free,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,12.553515199999993,8.87696385383606,-1,0
Few-Shot Learning for,greedy-separate,2,1,True,29.887800000000198,1001.9396249000001,-972.0518248999999,13.132669050000004,8.511642694473267,-1,1
Finding All Bayesian,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,16.10880759999995,11.15880036354065,-1,0
Fine-Grained Car Detection,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,11.733357599999977,9.10410189628601,-1,0
Fine-grained Retrieval Prompt,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,8.375886400000013,12.91765546798706,-1,0
Forecasting with Sparse,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,17.757772800000055,15.982952356338501,-1,0
Frame and Feature-Context,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,5.630623875000012,16.247469425201416,-1,0
Game-theoretic Approach for,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,10.196991200000014,11.007927894592285,-1,0
Generalized Planning in,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,15.282757599999968,13.089938402175903,-1,0
Generative structured normalizing,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,9.146386399999969,8.652068138122559,-1,0
Geometric,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,9.850136400000011,23.897263765335083,-1,0
Harnessing the Power,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,27.58650042499994,12.42499303817749,-1,0
Hierarchical Average Reward,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,10.973136400000001,9.854364156723022,-1,0
Human in the,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,16.59627279999995,9.973947525024414,-1,0
Hyperbolic Graph Diffusion,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,9.859799999999979,7.878206014633179,-1,0
Identification of Abnormal,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,9.05297880000002,10.55884838104248,-1,0
Identifying Unsafe Videos,greedy-separate,2,1,True,29.887800000000198,1036.4080342000007,-1006.5202342000005,15.14651520000001,7.290563583374023,-1,1
Improving Model Robustness,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,11.036515199999997,7.658355236053467,-1,0
Improving Multi-Document Summarization,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,14.560986399999962,8.124228239059448,-1,0
Improving Neural Question,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,25.25241440000005,8.811584234237671,-1,0
Improving Pareto Front,greedy-separate,2,1,True,29.887800000000198,814.5546569192927,-784.6668569192925,16.249751848894704,21.56396985054016,-1,1
Improving Training and,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,2.743995075000001,13.740140676498413,-1,0
Information Retention in,greedy-separate,2,1,False,29.887800000000198,29.887800000000198,0.0,9.455636399999975,7.229718923568726,-1,0
Integrated In-vehicle Monitoring,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,26.761436400000036,8.431627035140991,-1,0
Intelligent Frame Selection,greedy-separate,2,1,False,29.887800000000198,9.962600000000066,19.92520000000013,13.326107599999972,9.5651535987854,-1,0
Interpretable Local Tree,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,12.190747750000014,10.701098918914795,-1,0
Interpretable NLG for,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,18.29238639999994,9.369186878204346,-1,0
Interpretable Rumor Detection,greedy-separate,2,1,False,26.899199999999723,229.13980000000123,-202.2406000000015,22.00619999999998,10.531080722808838,-1,0
Investigating the Effects,greedy-separate,2,1,False,29.887800000000198,19.92520000000013,9.962600000000066,8.84613639999995,9.669171571731567,-1,0
